edge_id,from_node,to_node,num_lanes,speed_limit,priority,vehicle_count,avg_waiting_time,avg_time_loss,traffic_score,traffic_level,is_high_traffic,system_type
-1208990119,696519962,5650008508,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1218400893,11289910870,11289910873,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1218404179,11289909397,653114099,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1218404182,11289909408,11289909409,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1218404183,11289909410,11289909417,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1218404184,11289909418,11289909421,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1218404185,3993501850,618542198,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1218404186,11289909424,3384207074,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1221443318,11328438846,11328438853,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1221443319,11328438854,11328438858,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1221443320,11328438860,11328438863,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1244829938,11572055066,4944691776,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1244830639,11572100279,3577917013,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1245128852,11575280082,5340854080,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1245133222,11575305160,11575305166,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1245134336,11575192568,11575442769,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1245134799,3199103597,3199103596,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1245134800,3199103596,3199103595,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1245145921,11575588862,7933927657,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1253154874,11648228581,3354437320,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1253154875,11648228602,cluster_2124723823_4181874321,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1253154876,11648228604,2124723853,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1264742308,11749901172,11749901171,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1266355215,644608002,cluster_11762736405_403874908,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1266355216,11762736408,11762736409,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1266355217,11762736410,cluster_11762736411_2105200708,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1267062530,4077044429,11768559918,1,2.78,2,0,0.0,0.0,0.0,high,1,fixed
-1291717737,11975113191,618543173,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1291717738,11975113196,cluster_11975113199_4506239328,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-129478360,1428445686,644607656,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-129478361#0,683787619,1428445686,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-129478361#1,1428445677,683787619,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-129478361#2,644607663,1428445677,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-129478361#3,cluster_644607675_644607757,644607663,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-129478574#0,6991385729,644607754,1,11.11,10,0,0.0,0.0,0.0,high,1,fixed
-129478574#1,683786337,6991385729,1,11.11,10,0,0.0,0.0,0.0,high,1,fixed
-129478574#11,cluster_3502135115_3502135116_3528725850_403874915_#1more,cluster_1480092683_5499217661,1,11.11,10,0,0.0,0.0,0.0,high,1,fixed
-129478574#2,cluster_644607675_644607757,683786337,1,11.11,10,0,0.0,0.0,0.0,high,1,fixed
-129478574#4,644607759,cluster_644607675_644607757,1,11.11,10,0,0.0,0.0,0.0,high,1,fixed
-129478574#5,3942452779,644607759,1,11.11,10,0,0.0,0.0,0.0,high,1,fixed
-129478574#6,5340879535,3942452779,1,11.11,10,0,0.0,0.0,0.0,high,1,fixed
-129478574#7,644607774,5340879535,1,11.11,10,0,0.0,0.0,0.0,high,1,fixed
-129478574#8,1480092681,644607774,1,11.11,10,0,0.0,0.0,0.0,high,1,fixed
-129478574#9,cluster_1480092683_5499217661,1480092681,1,11.11,10,0,0.0,0.0,0.0,high,1,fixed
-129478575,644607754,1428447734,1,11.11,10,0,0.0,0.0,0.0,high,1,fixed
-1299286350,12035917179,5136285975,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1299286351,12035917185,267079000,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1299286352,12035917187,3993505809,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1300916286,12049374717,6363554948,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1300916287,12049374722,2124723860,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1300916288#0,12049374718,5290309693,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1300916288#1,12049374748,12049374718,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1300916288#2,12049374747,12049374748,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1305218619,12088722262,12088722263,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1305218620,12088722264,12088722265,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1305218621,12088722266,683788948,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1305218622,12088727270,12088727271,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1307254415,12106210806,12106210808,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1307254416,12106210809,12106210811,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1307737535,12110372035,12110372036,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1307737536,12110372037,12110372038,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1307737537,12110372039,12110372041,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1307737538,12110372042,12110372043,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1314849364,12169947996,12169947999,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1314849365,12169948000,12169963401,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1314849366#0,12169960566,12169963407,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1314849366#1,12169963406,12169960566,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1314849366#2,12169963402,12169963406,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1314850348,12169960565,12169960566,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1314850349#0,12169960565,cluster_3192345671_672777603,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1314850349#1,12169963406,12169960565,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-131497261,403875103,1447121123,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-131497266#0,cluster_6524294945_6524294948,403875103,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-131497266#2,2094422515,cluster_6524294945_6524294948,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-131497266#3,2094422555,2094422515,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-131497266#4,3749593907,2094422555,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-131497266#5,3199103601,3749593907,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-131497266#6,cluster_1447121115_403875113,3199103601,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-131497266#8,1447121108,cluster_1447121115_403875113,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-131497266#9,1447121106,1447121108,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-131513504#0,696519970,1447286008,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-131513504#1,403874891,696519970,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-131513504#2,403874901,403874891,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-131513504#3,cluster_5499217636_5499217639,403874901,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-131513504#5,2083588479,cluster_5499217636_5499217639,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-1332789314,12330294240,12330294245,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1332789315,4991016379,12330294249,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-134641870#0,3192347699,1480092687,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-134641870#1,3192347731,3192347699,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-134641870#2,3192347690,3192347731,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-134641870#3,646892401,3192347690,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-134641872,cluster_1480092683_5499217661,1480092665,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-134641874,1480092681,1480092676,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-134641875,4793220508,1428440343,1,8.33,10,0,0.0,0.0,0.0,high,1,fixed
-1349729326,12486050844,4191860061,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1349729327,12486050847,cluster_4056850010_4056850011,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1349729328,12486050848,4056850006,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1376986927#0,12749932610,12749932608,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1376986927#1,12749932614,12749932610,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1376986927#2,12749932611,12749932614,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1376986928,12749932614,12749932610,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1378010651,12759376224,12759376228,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1378010652,12759376229,12759376233,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1385784841,12830317437,12830317438,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1385784842,12830317439,12830317440,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1385784843,12830317444,cluster_12830317445_5340854093,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-13858379#0,cluster_3185210184_3185210187,cluster_127658071_3185210190_3185210191,1,13.89,10,0,0.0,0.0,0.0,high,1,fixed
-13858379#1,3993501525,cluster_3185210184_3185210187,1,13.89,10,0,0.0,0.0,0.0,high,1,fixed
-13858379#2,4077041335,3993501525,1,13.89,10,0,0.0,0.0,0.0,high,1,fixed
-13858379#3,7461743950,4077041335,1,13.89,10,0,0.0,0.0,0.0,high,1,fixed
-13858379#4,3988285711,7461743950,1,13.89,10,0,0.0,0.0,0.0,high,1,fixed
-13858379#5,127658086,3988285711,1,13.89,10,0,0.0,0.0,0.0,high,1,fixed
-13858379#6,6658789216,127658086,1,13.89,10,0,0.0,0.0,0.0,high,1,fixed
-13858379#7,127658263,6658789216,1,13.89,10,0,0.0,0.0,0.0,high,1,fixed
-1386033395,12832900281,cluster_5340860659_618530943,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1386033396,12832900285,683784076,1,2.78,2,0,0.0,0.0,0.0,high,1,fixed
-1386033397,12832900286,683784073,1,2.78,2,0,0.0,0.0,0.0,high,1,fixed
-1387997551,12848763453,12848763454,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1387997552,12848763455,12848763458,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1387997553,12848763457,12848763458,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1387997554#0,12848763457,12848763465,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1387997554#1,12848763458,12848763457,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1387997555,12848763467,12848763471,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1387997556#0,12848763465,12848763473,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1387997556#1,cluster_12848763472_12848763491,12848763465,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1387997557,12848763474,12848763478,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1387997558#0,12848763478,12848763479,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1387997558#1,12848763476,12848763478,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1387997559,5340879552,12848763480,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1387997560,12848763480,12848763481,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1387997561,cluster_12848763484_6991409003,12848763490,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1387997562#0,12848763490,12848763492,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1387997562#1,12848763489,12848763490,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1387997563#0,12848763492,cluster_12848763472_12848763491,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1387997563#1,cluster_12848763484_6991409003,12848763492,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1387997564#0,12848763471,12848791602,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1387997564#1,12848791601,12848763471,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1387999159,12848803409,12848803411,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
